text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
The syllabi must be taught in the following minimum number of days:,"[0, 0, 100, 20]",5,9.96,12,0,0.028,0.16666666666666666,0.08333333333333333,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Syllabus Days,"[0, 0, 100, 20]",5,9.96,2,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Baseline: Foundation 3,"[0, 0, 100, 20]",5,9.96,3,0,0.01,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Extension: Agile Tester 2,"[0, 0, 100, 20]",5,9.96,4,0,0.011,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
The following figure shows the structure of the Agile Tester Extension and its relationship to the,"[0, 0, 100, 20]",5,9.96,16,0,0.0415,0.0625,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Foundation Level.,"[0, 0, 100, 20]",5,9.96,2,0,0.008,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2.6 Keeping It Current,"[0, 0, 100, 20]",6,14.04,4,0,0.0095,0.25,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
The software industry changes rapidly. To deal with these changes and to provide the stakeholders with,"[0, 0, 100, 20]",6,9.96,16,0,0.0435,0.125,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"access to relevant and current information, the ISTQB working groups have created links on the","[0, 0, 100, 20]",6,9.96,15,0,0.04,0.26666666666666666,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"www.istqb.org web site which refer to supporting documents, changes to standards and new occurrences","[0, 0, 100, 20]",6,9.96,14,0,0.0435,0.14285714285714285,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
in the industry. This information is not examinable under this syllabus.,"[0, 0, 100, 20]",6,9.96,11,0,0.031,0.09090909090909091,0.09090909090909091,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
3. Overview of the Foundation Level Extension – Agile Tester S llabus y,"[0, 0, 100, 20]",7,9.96,13,0,0.0295,0.07692307692307693,0.5833333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
3.1 Business Outcomes,"[0, 0, 100, 20]",7,14.04,3,0,0.0095,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
This section lists the Business Outcomes expected of a candidate who has achieved the Foundation Level,"[0, 0, 100, 20]",7,9.96,16,0,0.0435,0.25,0.3125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Extension – Agile Tester certification.,"[0, 0, 100, 20]",7,9.96,5,0,0.0175,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
An Agile Tester can…,"[0, 0, 100, 20]",7,9.96,4,0,0.0085,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
AFM1 Collaborate in a cross-functional Agile team being familiar with principles and basic,"[0, 0, 100, 20]",7,9.96,13,0,0.039,0.07692307692307693,0.21428571428571427,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
practices of Agile software development.,"[0, 0, 100, 20]",7,9.96,5,0,0.018,0.0,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
AFM2 Adapt existing testing experience and knowledge to Agile values and principles.,"[0, 0, 100, 20]",7,9.96,12,0,0.0365,0.16666666666666666,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
AFM3 Support the Agile team in planning test-related activities.,"[0, 0, 100, 20]",7,9.96,9,0,0.028,0.1111111111111111,0.3,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
AFM4 Apply relevant methods and techniques for testing in an Agile project.,"[0, 0, 100, 20]",7,9.96,12,0,0.032,0.08333333333333333,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
AFM5 Assist the Agile team in test automation activities.,"[0, 0, 100, 20]",7,9.96,9,0,0.0245,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"AFM6 Assist business stakeholders in defining understandable and testable user stories,","[0, 0, 100, 20]",7,9.96,11,0,0.0385,0.09090909090909091,0.18181818181818182,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"scenarios, requirements and acceptance criteria as appropriate.","[0, 0, 100, 20]",7,9.96,7,0,0.0285,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
AFM7 Work and share information with other team members using effective communication,"[0, 0, 100, 20]",7,9.96,12,0,0.037,0.08333333333333333,0.16666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
styles and channels.,"[0, 0, 100, 20]",7,9.96,3,0,0.009,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"In general, a Certified Tester Foundation Level – Agile Tester is expected to have acquired the necessary","[0, 0, 100, 20]",7,9.96,17,0,0.0445,0.23529411764705882,0.4375,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
skills to working effectively within an Agile team and environment.,"[0, 0, 100, 20]",7,9.96,10,0,0.029,0.1,0.1,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
3.2 Content,"[0, 0, 100, 20]",7,14.04,2,0,0.005,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Chapter 1: Agile Software Development,"[0, 0, 100, 20]",7,9.96,5,0,0.0165,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
The tester should remember the basic concept of Agile software development based on the Agile,"[0, 0, 100, 20]",7,9.96,15,0,0.0395,0.13333333333333333,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Manifesto.,"[0, 0, 100, 20]",7,9.96,1,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should understand the advantages of the whole-team approach and the benefits of,"[0, 0, 100, 20]",7,9.96,14,0,0.0385,0.07142857142857142,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
early and frequent feedback.,"[0, 0, 100, 20]",7,9.96,4,0,0.0125,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should recall Agile software development approaches.,"[0, 0, 100, 20]",7,9.96,8,0,0.028,0.125,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to write testable user stories in collaboration with developers and,"[0, 0, 100, 20]",7,9.96,15,0,0.0395,0.13333333333333333,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
business representatives.,"[0, 0, 100, 20]",7,9.96,2,0,0.012,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should understand how retrospectives can be used as a mechanism for process,"[0, 0, 100, 20]",7,9.96,14,0,0.0365,0.21428571428571427,0.07142857142857142,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
improvement in Agile projects.,"[0, 0, 100, 20]",7,9.96,4,0,0.0135,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should understand the use and purpose of continuous integration.,"[0, 0, 100, 20]",7,9.96,11,0,0.0325,0.09090909090909091,0.09090909090909091,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"The tester should know the differences between iteration and release planning, and how a tester","[0, 0, 100, 20]",7,9.96,15,0,0.0405,0.06666666666666667,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
adds value in each of these activities.,"[0, 0, 100, 20]",7,9.96,7,0,0.0165,0.14285714285714285,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Chapter 2: Fundamental Agile Testing Principles, Practices, and Processes","[0, 0, 100, 20]",8,9.96,9,0,0.0325,0.0,0.7777777777777778,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
The tester should be able to describe the differences between testing activities in Agile projects,"[0, 0, 100, 20]",8,9.96,15,0,0.042,0.2,0.13333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
and non-Agile projects.,"[0, 0, 100, 20]",8,9.96,3,0,0.0105,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to describe how development and testing activities are integrated in,"[0, 0, 100, 20]",8,9.96,15,0,0.04,0.26666666666666666,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Agile projects.,"[0, 0, 100, 20]",8,9.96,2,0,0.007,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to describe the role of independent testing in Agile projects.,"[0, 0, 100, 20]",8,9.96,15,0,0.037,0.2,0.13333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to describe the tools and techniques used to communicate the status of,"[0, 0, 100, 20]",8,9.96,17,0,0.04,0.23529411764705882,0.058823529411764705,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"testing in an Agile project, including test progress and product quality.","[0, 0, 100, 20]",8,9.96,11,0,0.0315,0.18181818181818182,0.09090909090909091,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to describe the process of evolving tests across multiple iterations and,"[0, 0, 100, 20]",8,9.96,16,0,0.0415,0.1875,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
explain why test automation is important to manage regression risk in Agile projects.,"[0, 0, 100, 20]",8,9.96,13,0,0.0365,0.23076923076923078,0.07692307692307693,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"The tester should understand the skills people, domain, and testing of a tester in an Agile team.","[0, 0, 100, 20]",8,9.96,17,0,0.0405,0.11764705882352941,0.11764705882352941,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to understand the role of a tester within an Agile team.,"[0, 0, 100, 20]",8,9.96,16,0,0.0335,0.125,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Chapter 3: Agile Testing Methods, Techniques, and Tools","[0, 0, 100, 20]",8,9.96,8,0,0.024,0.125,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"The tester should be able to recall the concepts of test-driven development, acceptance testdriven development, and behavior-driven development.","[0, 0, 100, 20]",8,9.96,18,0,0.0635,0.1111111111111111,0.05,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to recall the concepts of the test pyramid.,"[0, 0, 100, 20]",8,9.96,13,0,0.0285,0.15384615384615385,0.07692307692307693,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to summarize the testing quadrants and their relationships with testing,"[0, 0, 100, 20]",8,9.96,15,0,0.0415,0.2,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
levels and testing types.,"[0, 0, 100, 20]",8,9.96,4,0,0.011,0.25,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"For a given Agile project, the tester should be able to work as a tester in a Scrum team.","[0, 0, 100, 20]",8,9.96,19,0,0.0355,0.15789473684210525,0.15789473684210525,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to assess quality risks within an Agile project.,"[0, 0, 100, 20]",8,9.96,13,0,0.031,0.15384615384615385,0.15384615384615385,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to estimate testing effort based on iteration content and quality risks.,"[0, 0, 100, 20]",8,9.96,16,0,0.0415,0.25,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to interpret relevant information to support testing activities.,"[0, 0, 100, 20]",8,9.96,13,0,0.039,0.3076923076923077,0.07692307692307693,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to explain to business stakeholders how to define testable acceptance,"[0, 0, 100, 20]",8,9.96,15,0,0.0405,0.2,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
criteria.,"[0, 0, 100, 20]",8,9.96,1,0,0.0045,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Given a user story, the tester should be able to write acceptance test-driven development test","[0, 0, 100, 20]",8,9.96,15,0,0.04,0.2,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
cases.,"[0, 0, 100, 20]",8,9.96,1,0,0.003,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"For both functional and non-functional behavior, the tester should be able to write test cases using","[0, 0, 100, 20]",8,9.96,16,0,0.0425,0.1875,0.058823529411764705,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
black box test design techniques based on given user stories.,"[0, 0, 100, 20]",8,9.96,10,0,0.026,0.2,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to perform exploratory testing to support the testing of an Agile project.,"[0, 0, 100, 20]",8,9.96,17,0,0.042,0.23529411764705882,0.11764705882352941,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The tester should be able to recall different tools available to testers according to their purpose,"[0, 0, 100, 20]",8,9.96,16,0,0.042,0.1875,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
and to activities in Agile projects.,"[0, 0, 100, 20]",8,9.96,6,0,0.0155,0.0,0.16666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
4. References,"[0, 0, 100, 20]",9,15.96,2,0,0.006,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
4.1 Trademarks,"[0, 0, 100, 20]",9,14.04,2,0,0.0065,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
The following registered trademarks and service marks are used in this document:,"[0, 0, 100, 20]",9,9.96,12,0,0.0345,0.16666666666666666,0.08333333333333333,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
ISTQB ®  is a registered trademark of the International Software Testing Qualifications Board,"[0, 0, 100, 20]",9,9.96,13,0,0.04,0.07692307692307693,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
4.2 Documents and Web Sites,"[0, 0, 100, 20]",9,14.04,5,0,0.0115,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Identifier Reference,"[0, 0, 100, 20]",9,9.96,2,0,0.0095,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
ISTQB-Web Web site of the International Software Testing Qualifications Board. Refer,"[0, 0, 100, 20]",9,9.96,11,0,0.037,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
to this website for the latest ISTQB Glossary and Syllabi. www.istqb.org,"[0, 0, 100, 20]",9,9.96,11,0,0.031,0.0,0.23076923076923078,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
