text,bbox,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
"To streamline the process, consider the following best practices and guidelines before editing a scanned document:","[100, 0, 200, 20]",12,16,0,0.0495,0.1875,0.0625,72.8,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Check the accuracy of optical character recognition OCR output . When you open a scanned document, Acrobat automatically runs OCRhttps://www.adobe.com/acrobat/resources/what-is-ocr.html in the background to make the document editable. Before editing, review the document to ensure that the content is accurate and complete. If necessary, rescan the document using the Scan & OCR - Recognize Text tool to improve the output.","[100, 0, 200, 20]",12,60,0,0.182,0.1896551724137931,0.16666666666666666,29.696,0,1,0.2,0,0.4,0.2,0,0,0.4,1,1,0.2,0.6,0,0,0,1,0,0,0,1,0
"Enhance image quality . If the scanned PDF contains low-quality images, use the Enhance scanned file or Enhance camera image feature to improve the quality of images before attempting to edit the document. For more information, see Scan documents to PDF.","[100, 0, 200, 20]",12,41,0,0.107,0.175,0.1951219512195122,49.5333,0,1,0,0,0.6667,1,0,0,0.6667,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
"Use the correct font and formatting . When editing the document, ensure that the font and formatting of the edited text match the original document as closely as possible. If you don't have the desired fonts on your computer, see Add fonts to your computer.https://helpx.adobe.com/fonts/kb/add-fonts-desktop.html","[100, 0, 200, 20]",12,45,0,0.134,0.13043478260869565,0.07272727272727272,48.8667,0,1,0.3333,0,0.3333,0.3333,0,0,0.3333,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
"Remove security restrictions . If the scanned PDF has security restrictions that prevent editing, remove these restrictions before attempting to edit the document. To know how to remove security from a PDF, see Unlock a PDF.","[100, 0, 200, 20]",12,36,0,0.0945,0.2857142857142857,0.2,49.0767,0,1,0.3333,0,0.3333,0.3333,0,0,0.3333,1,1,0,0.6667,0,0,0,1,0,0,0,1,0
"Avoid editing complex elements . If the scanned PDF contains tables, graphs, or images, avoid unnecessary edits that could alter the layout or formatting of these elements.","[100, 0, 200, 20]",12,27,0,0.073,0.15384615384615385,0.11538461538461539,73.3,0,1,0,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Check for compatibility issues . Ensure that the version of Adobe Acrobat you're using is compatible with the scanned PDF. If you encounter compatibility issues, try updating Adobe Acrobat. For more information, see System requirements.https://helpx.adobe.com/acrobat/system-requirements.html","[100, 0, 200, 20]",12,35,0,0.129,0.19444444444444445,0.23255813953488372,48.8667,0,1,0.6667,0,0.3333,0.3333,0,0,0.3333,1,1,0.3333,0.3333,0,0,0,1,0,0,0,1,0
Save a backup copy . Always save a backup copy of the original scanned PDF before making any edits. Revert to the original document if any issues arise during the editing process.,"[100, 0, 200, 20]",12,32,0,0.074,0.16129032258064516,0.12903225806451613,73.615,0,1,0,0,0,0.5,0,0,0,1,1,0,0.5,0,0,0,1,0,0,0,1,0
Recognize text on scanned PDF,"[100, 0, 200, 20]",16.02,5,0,0.0125,0,0.4,145.48,0,1,1,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"You can use the Scan & OCR tool to recognize text, change OCR language, and make all pages editable in one go. To do so:","[100, 0, 200, 20]",12,25,0,0.048,0.20833333333333334,0.20833333333333334,39.135,0,1,0.5,-2.01,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0.5,0,0,0.5,0
"1. Open the scanned file, and then from the top banner that appears, select Get started .","[0, 0, 200, 20]",12,17,0,0.01825,0.1875,0.125,0,18,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
It opens the Scan & OCR tool options in the left panel,"[100, 0, 200, 20]",12,12,0,0.0215,0.09090909090909091,0.2727272727272727,1.86,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"2. From the left panel, under Recognize text, select In this file .","[100, 0, 200, 20]",12,13,0,0.0275,0,0.25,28.86,-18,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"3. In the dialog that opens, select the pages that you want to apply text recognition for and the language.","[100, 0, 200, 20]",12,20,0,0.044,0.2,0.05,0.495,9,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
4. Select Recognize text .,"[100, 0, 200, 20]",12,5,0,0.011,0,0.5,1.01,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Edit a scanned document,"[100, 0, 200, 20]",16.02,4,0,0.01,0,0.25,3.59,-54,0,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
1. Open the scanned PDF file in Acrobat.,"[100, 0, 200, 20]",12,8,0,0.0165,0.125,0.375,0,18,0,0,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"2. From the global bar in the upper left, select Edit .","[100, 0, 200, 20]",12,12,0,0.022,0,0.18181818181818182,1.01,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
3. Select the text element that you want to edit and start typing. The new text matches the original font in your scanned PDF.,"[100, 0, 200, 20]",12,24,0,0.0515,0.20833333333333334,0.125,0.495,9,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"4. From the upper-left corner, select the hamburger menu Windows or File macOS> Save as and enter a new name for your document.","[100, 0, 200, 20]",12,23,0,0.0525,0.13043478260869565,0.16666666666666666,0.52,0,0,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Initially, the language is set to the default locale, and the other options are disabled. Any changes to these settings are persisted and are applied when you edit the document.","[100, 0, 200, 20]",12,30,0,0.074,0.3,0.06666666666666667,0.495,-18,0.5,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Enhance scanned file or camera images for clear PDFs,"[0, 0, 100, 20]",24,9,0,0.022,0.1111111111111111,0.2222222222222222,4.99,0,1,1,-12,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
"You can capture document photos with your smartphone and use the Enhance camera image feature to create polished, clear, and compact PDFs without needing a standard scanner. This feature addresses common issues in mobile-captured images, such as incorrect perspectives, areas beyond boundaries, shadows, and inconsistent lighting. While it may not eliminate all problems, it significantly improves the overall quality of your resulting PDF.","[100, 0, 200, 20]",12,63,0,0.189,0.12698412698412698,0.09375,1,0,1,0.6,-2.4,0.4,0.4,0,0,0.4,1,1,0,0.8,0,0,0,1,0.2,0,0,0.8,0
Enhance camera image,"[100, 0, 200, 20]",16.02,3,0,0.009,0,0.3333333333333333,1,0,1,1,4.02,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1
1. Open the photograph or image of the document in Acrobat.,"[100, 0, 200, 20]",12,11,0,0.0245,0.09090909090909091,0.18181818181818182,0,18,0,0,-4.02,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
"2. From the All tools menu, select Scan & OCR .","[100, 0, 200, 20]",12,11,0,0.0185,0,0.4444444444444444,1.02,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"3. From the left panel, select Enhance camera image and then from the dialog that opens, select Enhance .","[100, 0, 200, 20]",12,19,0,0.0435,0.05555555555555555,0.16666666666666666,0.52,9,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
4. The image is enhanced and a PDF of the image is shown.,"[100, 0, 200, 20]",12,13,0,0.0225,0.3076923076923077,0.15384615384615385,1,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"5. Optional To further adjust the default enhancement level, drag the Adjust enhancement level slider in the secondary toolbar.","[100, 0, 200, 20]",12,19,0,0.0545,0.15789473684210525,0.15789473684210525,17.5,9,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
