text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,predicted_category,confidence_score,style_cluster_id,numbering_info,hierarchy_level
recognition for and the language.,"[0, 0, 100, 20]",15,12.0,5,0,0.0145,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.952696241590922,0,,H3
4. Select Recognize text .,"[0, 0, 100, 20]",15,12.0,5,0,0.011,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9540747152253763,0,"{'type': 'numeric', 'depth': 1}",H3
Edit a scanned document,"[0, 0, 100, 20]",15,16.02,4,0,0.01,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999998294528,1,,H2
1. Open the scanned PDF file in Acrobat.,"[0, 0, 100, 20]",15,12.0,8,0,0.0165,0.125,0.375,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9033490738942096,0,"{'type': 'numeric', 'depth': 1}",H3
the original font in your scanned PDF.,"[0, 0, 100, 20]",15,12.0,7,0,0.016,0.0,0.1428571428571428,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.567617009568819,0,,H3
"4. From the upper-left corner, select the hamburger menu Windows or File","[0, 0, 100, 20]",15,12.0,12,0,0.0305,0.0833333333333333,0.2307692307692307,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.5057357416102568,0,"{'type': 'numeric', 'depth': 1}",H3
Enhance scanned file or camera images for clear PDFs,"[0, 0, 100, 20]",16,24.0,9,0,0.022,0.1111111111111111,0.2222222222222222,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,1.0,2,,H1
Enhance camera image,"[0, 0, 100, 20]",16,16.02,3,0,0.009,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999999752204,1,,H2
1. Open the photograph or image of the document in Acrobat.,"[0, 0, 100, 20]",16,12.0,11,0,0.0245,0.0909090909090909,0.1818181818181818,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.8548969858811865,0,"{'type': 'numeric', 'depth': 1}",H3
"2. From the All tools menu, select Scan & OCR .","[0, 0, 100, 20]",16,12.0,11,0,0.0185,0.0,0.4444444444444444,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.741650885522455,0,"{'type': 'numeric', 'depth': 1}",H3
"3. From the left panel, select Enhance camera image and then from the dialog that","[0, 0, 100, 20]",16,12.0,15,0,0.0335,0.0,0.1333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.802749521778913,0,"{'type': 'numeric', 'depth': 1}",H3
"opens, select Enhance .","[0, 0, 100, 20]",16,12.0,4,0,0.01,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9211033500467968,0,,H3
4. The image is enhanced and a PDF of the image is shown.,"[0, 0, 100, 20]",16,12.0,13,0,0.0225,0.3076923076923077,0.1538461538461538,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.5486845392625281,0,"{'type': 'numeric', 'depth': 1}",H3
enhancement level slider in the secondary toolbar.,"[0, 0, 100, 20]",16,12.0,7,0,0.022,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.5039227582079921,0,,H3
