text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
"Chez Pipo Nice: A local favorite for Socca, this casual eatery is perfect for a quick and","Chez Pipo (Nice): A local favorite for Socca, this casual eatery is perfect for a quick and",delicious snack. Chez Pipo has been serving Socca since 1923 and is a beloved,delicious snack. Chez Pipo has been serving Socca since 1923 and is a beloved,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
delicious snack. Chez Pipo has been serving Socca since 1923 and is a beloved,delicious snack. Chez Pipo has been serving Socca since 1923 and is a beloved,"institution in Nice. The restaurant's simple, no-frills approach allows the quality of the","institution in Nice. The restaurant's simple, no-frills approach allows the quality of the",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"institution in Nice. The restaurant's simple, no-frills approach allows the quality of the","institution in Nice. The restaurant's simple, no-frills approach allows the quality of the",Socca to shine through.,Socca to shine through.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Socca to shine through.,Socca to shine through.,L'Atelier de Jean-Luc Rabanel Arles: A Michelin-starred restaurant known for its,L'Atelier de Jean-Luc Rabanel (Arles): A Michelin-starred restaurant known for its,4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
L'Atelier de Jean-Luc Rabanel Arles: A Michelin-starred restaurant known for its,L'Atelier de Jean-Luc Rabanel (Arles): A Michelin-starred restaurant known for its,creative and contemporary take on Provençal cuisine. Chef Jean-Luc Rabanel's dishes,creative and contemporary take on Provençal cuisine. Chef Jean-Luc Rabanel's dishes,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
creative and contemporary take on Provençal cuisine. Chef Jean-Luc Rabanel's dishes,creative and contemporary take on Provençal cuisine. Chef Jean-Luc Rabanel's dishes,"are a feast for the senses, combining bold flavors with artistic presentation. The","are a feast for the senses, combining bold flavors with artistic presentation. The",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"are a feast for the senses, combining bold flavors with artistic presentation. The","are a feast for the senses, combining bold flavors with artistic presentation. The","restaurant's tasting menu offers a journey through the flavors of Provence, with each","restaurant's tasting menu oﬀers a journey through the flavors of Provence, with each",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"restaurant's tasting menu offers a journey through the flavors of Provence, with each","restaurant's tasting menu oﬀers a journey through the flavors of Provence, with each",course showcasing the region's finest ingredients.,course showcasing the region's finest ingredients.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
course showcasing the region's finest ingredients.,course showcasing the region's finest ingredients.,La Table de Plaisance Saint-Émilion: A two-Michelin-starred restaurant offering a,La Table de Plaisance (Saint-Émilion): A two-Michelin-starred restaurant oﬀering a,4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
La Table de Plaisance Saint-Émilion: A two-Michelin-starred restaurant offering a,La Table de Plaisance (Saint-Émilion): A two-Michelin-starred restaurant oﬀering a,sophisticated menu that highlights the flavors of the region. The restaurant is located,sophisticated menu that highlights the flavors of the region. The restaurant is located,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
sophisticated menu that highlights the flavors of the region. The restaurant is located,sophisticated menu that highlights the flavors of the region. The restaurant is located,"in a historic building in the heart of Saint-Émilion, a town known for its world-class","in a historic building in the heart of Saint-Émilion, a town known for its world-class",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"in a historic building in the heart of Saint-Émilion, a town known for its world-class","in a historic building in the heart of Saint-Émilion, a town known for its world-class","wines. The menu features dishes that pair beautifully with the local wines, creating a","wines. The menu features dishes that pair beautifully with the local wines, creating a",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"wines. The menu features dishes that pair beautifully with the local wines, creating a","wines. The menu features dishes that pair beautifully with the local wines, creating a",truly memorable dining experience.,truly memorable dining experience.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
Wine Regions and Types of Wines,Wine Regions and Types of Wines,The South of France is renowned for its diverse and exceptional wine regions. Here are some,The South of France is renowned for its diverse and exceptional wine regions. Here are some,4.43,0,1,0,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
The South of France is renowned for its diverse and exceptional wine regions. Here are some,The South of France is renowned for its diverse and exceptional wine regions. Here are some,key areas to explore and the types of wines they produce:,key areas to explore and the types of wines they produce:,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
key areas to explore and the types of wines they produce:,key areas to explore and the types of wines they produce:,"Provence: Famous for its rosé wines, Provence is one of the oldest wine-producing","Provence: Famous for its rosé wines, Provence is one of the oldest wine-producing",4.41,36,0,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Provence: Famous for its rosé wines, Provence is one of the oldest wine-producing","Provence: Famous for its rosé wines, Provence is one of the oldest wine-producing",regions in France. The region's sunny climate and diverse terroir contribute to the,regions in France. The region's sunny climate and diverse terroir contribute to the,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
regions in France. The region's sunny climate and diverse terroir contribute to the,regions in France. The region's sunny climate and diverse terroir contribute to the,"production of light, refreshing rosés, as well as robust reds and aromatic whites. Key","production of light, refreshing rosés, as well as robust reds and aromatic whites. Key",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"production of light, refreshing rosés, as well as robust reds and aromatic whites. Key","production of light, refreshing rosés, as well as robust reds and aromatic whites. Key","appellations include Côtes de Provence, Bandol, and Cassis. Notable grape varieties","appellations include Côtes de Provence, Bandol, and Cassis. Notable grape varieties",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"appellations include Côtes de Provence, Bandol, and Cassis. Notable grape varieties","appellations include Côtes de Provence, Bandol, and Cassis. Notable grape varieties","include Grenache, Syrah, Mourvèdre, and Cinsault for reds and rosés, and Rolle","include Grenache, Syrah, Mourvèdre, and Cinsault for reds and rosés, and Rolle",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"include Grenache, Syrah, Mourvèdre, and Cinsault for reds and rosés, and Rolle","include Grenache, Syrah, Mourvèdre, and Cinsault for reds and rosés, and Rolle",Vermentino and Clairette for whites.,(Vermentino) and Clairette for whites.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Vermentino and Clairette for whites.,(Vermentino) and Clairette for whites.,Languedoc-Roussillon: This vast region stretches along the Mediterranean coast and is,Languedoc-Roussillon: This vast region stretches along the Mediterranean coast and is,4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Languedoc-Roussillon: This vast region stretches along the Mediterranean coast and is,Languedoc-Roussillon: This vast region stretches along the Mediterranean coast and is,known for its variety of wine styles. Languedoc-Roussillon produces everything from,known for its variety of wine styles. Languedoc-Roussillon produces everything from,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
known for its variety of wine styles. Languedoc-Roussillon produces everything from,known for its variety of wine styles. Languedoc-Roussillon produces everything from,crisp whites and fruity rosés to full-bodied reds. Notable appellations include,crisp whites and fruity rosés to full-bodied reds. Notable appellations include,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
crisp whites and fruity rosés to full-bodied reds. Notable appellations include,crisp whites and fruity rosés to full-bodied reds. Notable appellations include,"Corbières, Minervois, and Picpoul de Pinet. Key grape varieties include Carignan,","Corbières, Minervois, and Picpoul de Pinet. Key grape varieties include Carignan,",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Corbières, Minervois, and Picpoul de Pinet. Key grape varieties include Carignan,","Corbières, Minervois, and Picpoul de Pinet. Key grape varieties include Carignan,","Grenache, Syrah, and Mourvèdre for reds, and Picpoul, Marsanne, and Roussanne for","Grenache, Syrah, and Mourvèdre for reds, and Picpoul, Marsanne, and Roussanne for",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Grenache, Syrah, and Mourvèdre for reds, and Picpoul, Marsanne, and Roussanne for","Grenache, Syrah, and Mourvèdre for reds, and Picpoul, Marsanne, and Roussanne for",whites.,whites.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
whites.,whites.,Rhône Valley: The southern part of the Rhône Valley is famous for its powerful red,Rhône Valley: The southern part of the Rhône Valley is famous for its powerful red,4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Rhône Valley: The southern part of the Rhône Valley is famous for its powerful red,Rhône Valley: The southern part of the Rhône Valley is famous for its powerful red,"wines, particularly those from Châteauneuf-du-Pape. The region also produces","wines, particularly those from Châteauneuf-du-Pape. The region also produces",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"wines, particularly those from Châteauneuf-du-Pape. The region also produces","wines, particularly those from Châteauneuf-du-Pape. The region also produces","excellent whites and rosés. Other important appellations include Gigondas,","excellent whites and rosés. Other important appellations include Gigondas,",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"excellent whites and rosés. Other important appellations include Gigondas,","excellent whites and rosés. Other important appellations include Gigondas,","Vacqueyras, and Côtes du Rhône. Key grape varieties include Grenache, Syrah, and","Vacqueyras, and Côtes du Rhône. Key grape varieties include Grenache, Syrah, and",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Vacqueyras, and Côtes du Rhône. Key grape varieties include Grenache, Syrah, and","Vacqueyras, and Côtes du Rhône. Key grape varieties include Grenache, Syrah, and","Mourvèdre for reds, and Viognier, Marsanne, and Roussanne for whites.","Mourvèdre for reds, and Viognier, Marsanne, and Roussanne for whites.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Mourvèdre for reds, and Viognier, Marsanne, and Roussanne for whites.","Mourvèdre for reds, and Viognier, Marsanne, and Roussanne for whites.",South West France Sud-Ouest: This lesser-known region is home to a variety of,South West France (Sud-Ouest): This lesser-known region is home to a variety of,4.41,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
South West France Sud-Ouest: This lesser-known region is home to a variety of,South West France (Sud-Ouest): This lesser-known region is home to a variety of,unique wines made from indigenous grape varieties. The area includes sub-regions,unique wines made from indigenous grape varieties. The area includes sub-regions,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
unique wines made from indigenous grape varieties. The area includes sub-regions,unique wines made from indigenous grape varieties. The area includes sub-regions,"such as Bergerac, Cahors, and Madiran. South West France is known for its robust reds,","such as Bergerac, Cahors, and Madiran. South West France is known for its robust reds,",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"such as Bergerac, Cahors, and Madiran. South West France is known for its robust reds,","such as Bergerac, Cahors, and Madiran. South West France is known for its robust reds,","aromatic whites, and sweet dessert wines. Key grape varieties include Malbec known","aromatic whites, and sweet dessert wines. Key grape varieties include Malbec (known",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"aromatic whites, and sweet dessert wines. Key grape varieties include Malbec known","aromatic whites, and sweet dessert wines. Key grape varieties include Malbec (known","locally as Côt, Tannat, and Négrette for reds, and Gros Manseng, Petit Manseng, and","locally as Côt), Tannat, and Négrette for reds, and Gros Manseng, Petit Manseng, and",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"locally as Côt, Tannat, and Négrette for reds, and Gros Manseng, Petit Manseng, and","locally as Côt), Tannat, and Négrette for reds, and Gros Manseng, Petit Manseng, and",Colombard for whites.,Colombard for whites.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Colombard for whites.,Colombard for whites.,"Corsica: Although technically an island, Corsica is often included in discussions of","Corsica: Although technically an island, Corsica is often included in discussions of",4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Corsica: Although technically an island, Corsica is often included in discussions of","Corsica: Although technically an island, Corsica is often included in discussions of",Southern French wine regions. The island's diverse terroir and Mediterranean climate,Southern French wine regions. The island's diverse terroir and Mediterranean climate,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Southern French wine regions. The island's diverse terroir and Mediterranean climate,Southern French wine regions. The island's diverse terroir and Mediterranean climate,"produce a range of wines, including crisp whites, fruity rosés, and spicy reds. Key","produce a range of wines, including crisp whites, fruity rosés, and spicy reds. Key",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"produce a range of wines, including crisp whites, fruity rosés, and spicy reds. Key","produce a range of wines, including crisp whites, fruity rosés, and spicy reds. Key","appellations include Ajaccio, Patrimonio, and Vin de Corse. Notable grape varieties","appellations include Ajaccio, Patrimonio, and Vin de Corse. Notable grape varieties",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"appellations include Ajaccio, Patrimonio, and Vin de Corse. Notable grape varieties","appellations include Ajaccio, Patrimonio, and Vin de Corse. Notable grape varieties","include Nielluccio Sangiovese, Sciacarello, and Vermentino.","include Nielluccio (Sangiovese), Sciacarello, and Vermentino.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Culinary Experiences,Culinary Experiences,"In addition to dining at top restaurants, there are several culinary experiences you should","In addition to dining at top restaurants, there are several culinary experiences you should",4.43,0,1,0,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"In addition to dining at top restaurants, there are several culinary experiences you should","In addition to dining at top restaurants, there are several culinary experiences you should",consider:,consider:,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
consider:,consider:,Cooking Classes: Many towns and cities in the South of France offer cooking classes,Cooking Classes: Many towns and cities in the South of France oﬀer cooking classes,4.41,36,0,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Cooking Classes: Many towns and cities in the South of France offer cooking classes,Cooking Classes: Many towns and cities in the South of France oﬀer cooking classes,"where you can learn to prepare traditional dishes like bouillabaisse, ratatouille, and","where you can learn to prepare traditional dishes like bouillabaisse, ratatouille, and",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"where you can learn to prepare traditional dishes like bouillabaisse, ratatouille, and","where you can learn to prepare traditional dishes like bouillabaisse, ratatouille, and",tarte tropézienne. These classes are a great way to immerse yourself in the local,tarte tropézienne. These classes are a great way to immerse yourself in the local,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
tarte tropézienne. These classes are a great way to immerse yourself in the local,tarte tropézienne. These classes are a great way to immerse yourself in the local,culture and gain hands-on experience with regional recipes. Some classes even,culture and gain hands-on experience with regional recipes. Some classes even,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
culture and gain hands-on experience with regional recipes. Some classes even,culture and gain hands-on experience with regional recipes. Some classes even,include a visit to a local market to shop for fresh ingredients.,include a visit to a local market to shop for fresh ingredients.,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
include a visit to a local market to shop for fresh ingredients.,include a visit to a local market to shop for fresh ingredients.,Food Markets: Visit local markets such as the Cours Saleya Market in Nice or the,Food Markets: Visit local markets such as the Cours Saleya Market in Nice or the,4.41,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Food Markets: Visit local markets such as the Cours Saleya Market in Nice or the,Food Markets: Visit local markets such as the Cours Saleya Market in Nice or the,"Marché Forville in Cannes to sample fresh produce, cheeses, and charcuterie. These","Marché Forville in Cannes to sample fresh produce, cheeses, and charcuterie. These",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Marché Forville in Cannes to sample fresh produce, cheeses, and charcuterie. These","Marché Forville in Cannes to sample fresh produce, cheeses, and charcuterie. These","markets are a feast for the senses, with stalls overflowing with colorful fruits and","markets are a feast for the senses, with stalls overflowing with colorful fruits and",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"markets are a feast for the senses, with stalls overflowing with colorful fruits and","markets are a feast for the senses, with stalls overflowing with colorful fruits and","vegetables, fragrant herbs, and artisanal products. Take the time to chat with the","vegetables, fragrant herbs, and artisanal products. Take the time to chat with the",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"vegetables, fragrant herbs, and artisanal products. Take the time to chat with the","vegetables, fragrant herbs, and artisanal products. Take the time to chat with the",vendors and learn about the local specialties.,vendors and learn about the local specialties.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
vendors and learn about the local specialties.,vendors and learn about the local specialties.,"Wine Tours: The South of France is renowned for its wine regions, including Provence","Wine Tours: The South of France is renowned for its wine regions, including Provence",4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Wine Tours: The South of France is renowned for its wine regions, including Provence","Wine Tours: The South of France is renowned for its wine regions, including Provence","and Languedoc. Take a wine tour to visit vineyards, taste local wines, and learn about","and Languedoc. Take a wine tour to visit vineyards, taste local wines, and learn about",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"and Languedoc. Take a wine tour to visit vineyards, taste local wines, and learn about","and Languedoc. Take a wine tour to visit vineyards, taste local wines, and learn about","the winemaking process. Many wineries offer guided tours and tastings, giving you the","the winemaking process. Many wineries oﬀer guided tours and tastings, giving you the",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"the winemaking process. Many wineries offer guided tours and tastings, giving you the","the winemaking process. Many wineries oﬀer guided tours and tastings, giving you the",opportunity to sample a variety of wines and discover new favorites. Don't miss the,opportunity to sample a variety of wines and discover new favorites. Don't miss the,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
opportunity to sample a variety of wines and discover new favorites. Don't miss the,opportunity to sample a variety of wines and discover new favorites. Don't miss the,"chance to try rosé from Provence, which is famous for its light, refreshing flavor.","chance to try rosé from Provence, which is famous for its light, refreshing flavor.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"chance to try rosé from Provence, which is famous for its light, refreshing flavor.","chance to try rosé from Provence, which is famous for its light, refreshing flavor.",Olive Oil Tasting: The region is famous for its olive oil. Visit an olive grove to learn,Olive Oil Tasting: The region is famous for its olive oil. Visit an olive grove to learn,4.41,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Olive Oil Tasting: The region is famous for its olive oil. Visit an olive grove to learn,Olive Oil Tasting: The region is famous for its olive oil. Visit an olive grove to learn,about olive oil production and enjoy a tasting session. You'll have the chance to,about olive oil production and enjoy a tasting session. You'll have the chance to,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
about olive oil production and enjoy a tasting session. You'll have the chance to,about olive oil production and enjoy a tasting session. You'll have the chance to,sample different varieties of olive oil and learn about the nuances of flavor and aroma.,sample diﬀerent varieties of olive oil and learn about the nuances of flavor and aroma.,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
sample different varieties of olive oil and learn about the nuances of flavor and aroma.,sample diﬀerent varieties of olive oil and learn about the nuances of flavor and aroma.,"Many olive groves also produce other products like tapenade and olive soap, which","Many olive groves also produce other products like tapenade and olive soap, which",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Many olive groves also produce other products like tapenade and olive soap, which","Many olive groves also produce other products like tapenade and olive soap, which",make great souvenirs.,make great souvenirs.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
make great souvenirs.,make great souvenirs.,"Truffle Hunting: The South of France is known for its truffles, particularly the black","Truﬄe Hunting: The South of France is known for its truﬄes, particularly the black",4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Truffle Hunting: The South of France is known for its truffles, particularly the black","Truﬄe Hunting: The South of France is known for its truﬄes, particularly the black",truffles from the Périgord region. Join a truffle hunting tour to experience the thrill of,truﬄes from the Périgord region. Join a truﬄe hunting tour to experience the thrill of,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
truffles from the Périgord region. Join a truffle hunting tour to experience the thrill of,truﬄes from the Périgord region. Join a truﬄe hunting tour to experience the thrill of,searching for these prized fungi. You'll be accompanied by a trained truffle dog and a,searching for these prized fungi. You'll be accompanied by a trained truﬄe dog and a,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
searching for these prized fungi. You'll be accompanied by a trained truffle dog and a,searching for these prized fungi. You'll be accompanied by a trained truﬄe dog and a,knowledgeable guide who will teach you about the truffle's history and culinary uses.,knowledgeable guide who will teach you about the truﬄe's history and culinary uses.,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
knowledgeable guide who will teach you about the truffle's history and culinary uses.,knowledgeable guide who will teach you about the truﬄe's history and culinary uses.,"After the hunt, enjoy a truffle-themed meal featuring your freshly harvested finds.","After the hunt, enjoy a truﬄe-themed meal featuring your freshly harvested finds.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"After the hunt, enjoy a truffle-themed meal featuring your freshly harvested finds.","After the hunt, enjoy a truﬄe-themed meal featuring your freshly harvested finds.","Farm-to-Table Dining: Many restaurants in the South of France embrace the farm-totable philosophy, sourcing their ingredients from local farms and producers. Look for","table philosophy, sourcing their ingredients from local farms and producers. Look for",11.72,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Farm-to-Table Dining: Many restaurants in the South of France embrace the farm-totable philosophy, sourcing their ingredients from local farms and producers. Look for","table philosophy, sourcing their ingredients from local farms and producers. Look for","restaurants that highlight seasonal, locally grown produce and sustainably raised","restaurants that highlight seasonal, locally grown produce and sustainably raised",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"restaurants that highlight seasonal, locally grown produce and sustainably raised","restaurants that highlight seasonal, locally grown produce and sustainably raised",meats. Dining at a farm-to-table restaurant is a wonderful way to support local,meats. Dining at a farm-to-table restaurant is a wonderful way to support local,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
meats. Dining at a farm-to-table restaurant is a wonderful way to support local,meats. Dining at a farm-to-table restaurant is a wonderful way to support local,agriculture and enjoy the freshest ingredients available.,agriculture and enjoy the freshest ingredients available.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"Cheese Tasting: The South of France is home to a variety of delicious cheeses,","Cheese Tasting: The South of France is home to a variety of delicious cheeses,","including Roquefort, Banon, and Picodon. Visit a local fromagerie cheese shop or a","including Roquefort, Banon, and Picodon. Visit a local fromagerie (cheese shop) or a",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"including Roquefort, Banon, and Picodon. Visit a local fromagerie cheese shop or a","including Roquefort, Banon, and Picodon. Visit a local fromagerie (cheese shop) or a",farm to sample these cheeses and learn about their production. Many cheese,farm to sample these cheeses and learn about their production. Many cheese,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
farm to sample these cheeses and learn about their production. Many cheese,farm to sample these cheeses and learn about their production. Many cheese,"producers offer tours and tastings, giving you the opportunity to discover the unique","producers oﬀer tours and tastings, giving you the opportunity to discover the unique",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"producers offer tours and tastings, giving you the opportunity to discover the unique","producers oﬀer tours and tastings, giving you the opportunity to discover the unique",flavors and textures of the region's cheeses.,flavors and textures of the region's cheeses.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
flavors and textures of the region's cheeses.,flavors and textures of the region's cheeses.,"Pastry Workshops: French pastries are renowned worldwide, and the South of France","Pastry Workshops: French pastries are renowned worldwide, and the South of France",4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Pastry Workshops: French pastries are renowned worldwide, and the South of France","Pastry Workshops: French pastries are renowned worldwide, and the South of France",is no exception. Join a pastry workshop to learn how to make classic French pastries,is no exception. Join a pastry workshop to learn how to make classic French pastries,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
